ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;LICENCIATURA EN DISEÑO INDUSTRIAL;171;141;312;35;14;49;35;25;60;42;22;64
AGUASCALIENTES;LICENCIATURA EN DISEÑO TEXTIL Y CREACIÓN DE MODAS;0;0;0;0;0;0;5;1;6;1;1;2
AGUASCALIENTES;LICENCIATURA EN DISEÑO Y GESTIÓN DE REDES LOGÍSTICAS  ;39;25;64;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN DOCENCIA DE FRANCÉS Y ESPAÑOL COMO LENGUA EXTRANJERA;84;32;116;20;13;33;15;1;16;4;2;6
AGUASCALIENTES;LICENCIATURA EN DOCENCIA DE LA DANZA FOLCLÓRICA MEXICANA  ;5;6;11;0;0;0;0;0;0;1;1;2
AGUASCALIENTES;LICENCIATURA EN DOCENCIA DEL IDIOMA INGLÉS;139;67;206;31;17;48;23;9;32;18;8;26
AGUASCALIENTES;LICENCIATURA EN ECONOMÍA;44;85;129;15;22;37;16;25;41;17;18;35
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN;105;27;132;22;3;25;34;4;38;32;8;40
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN E INNOVACIÓN PEDAGÓGICA;34;9;43;15;2;17;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN FÍSICA Y DEPORTES;14;46;60;13;17;30;1;5;6;0;4;4
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN FÍSICA, DEPORTE Y RECREACIÓN;2;10;12;2;10;12;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENFERMERÍA;1357;361;1718;500;131;631;250;87;337;202;61;263
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA DEL IDIOMA INGLÉS;14;14;28;0;0;0;4;3;7;5;5;10
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA DEL INGLÉS;60;23;83;8;4;12;1;2;3;9;2;11
AGUASCALIENTES;LICENCIATURA EN ESTUDIOS DEL ARTE Y GESTIÓN  CULTURAL;76;31;107;17;9;26;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN FILOSOFÍA;37;64;101;7;17;24;1;2;3;2;3;5
AGUASCALIENTES;LICENCIATURA EN FINANZAS Y BANCA;11;33;44;3;10;13;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN FISIOTERAPIA;231;105;336;101;40;141;32;6;38;32;6;38
AGUASCALIENTES;LICENCIATURA EN GASTRONOMÍA;121;96;217;57;36;93;9;3;12;0;0;0
AGUASCALIENTES;LICENCIATURA EN GASTRONOMÍA Y ADMINISTRACIÓN;13;13;26;9;11;20;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN GESTIÓN DE NEGOCIOS Y PROYECTOS   ;31;18;49;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN GESTIÓN DEL CAPITAL HUMANO;140;40;180;23;3;26;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN GESTIÓN E INNOVACIÓN HOTELERA Y TURÍSTICA;5;0;5;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN GESTIÓN INSTITUCIONAL EDUCATIVA Y CURRICULAR;16;4;20;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN GESTIÓN TURÍSTICA;101;24;125;18;6;24;19;4;23;14;4;18
AGUASCALIENTES;LICENCIATURA EN GESTIÓN Y DESARROLLO TURÍSTICO;12;6;18;12;6;18;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN HISTORIA;40;69;109;6;20;26;7;6;13;9;6;15
